iter	Passed	Remaining
485	648	685
486	649	684
487	651	683
488	652	681
489	653	680
490	654	678
491	655	677
492	656	675
493	658	674
494	659	672
495	660	671
496	661	669
497	662	668
498	663	666
499	664	664
500	666	663
501	667	661
502	668	660
503	669	658
504	669	656
505	670	654
506	671	653
507	673	652
508	674	650
509	675	648
510	676	647
511	677	645
512	678	643
513	679	642
514	680	640
515	681	639
516	682	637
517	683	636
518	684	634
519	686	633
520	687	631
521	688	630
522	689	629
523	691	627
524	692	626
525	693	625
526	694	623
527	696	622
528	697	621
529	698	619
530	699	618
531	700	616
532	701	614
533	703	613
534	704	612
535	705	610
536	706	609
537	707	607
538	708	606
539	709	604
540	711	603
541	712	602
542	713	600
543	714	599
544	715	597
545	716	596
546	718	595
547	719	593
548	720	592
549	721	590
550	722	589
551	723	587
552	724	586
553	726	584
554	727	583
555	729	582
556	730	580
557	731	579
558	733	578
559	734	576
560	735	575
561	736	574
562	738	572
563	739	571
564	740	570
565	742	569
566	743	567
567	744	566
568	745	565
569	747	563
570	748	562
571	749	561
572	750	559
573	752	558
574	753	556
575	754	555
576	755	554
577	757	552
578	758	551
579	759	550
580	760	548
581	761	547
582	762	545
583	764	544
584	765	542
585	767	541
586	768	540
587	770	539
588	771	538
589	772	537
590	773	535
591	775	534
592	776	532
593	777	531
594	779	530
595	780	529
596	781	527
597	782	526
598	783	524
599	784	523
600	786	521
601	787	520
602	788	518
603	789	517
604	790	516
605	791	514
606	792	513
607	793	511
608	794	510
609	795	508
610	796	507
611	797	505
612	798	504
613	800	503
614	801	501
615	802	500
616	803	499
617	804	497
618	806	496
619	807	494
620	809	493
621	810	492
622	811	491
623	812	489
624	813	488
625	815	487
626	816	485
627	818	484
628	819	483
629	820	482
630	821	480
631	823	479
632	824	477
633	825	476
634	826	475
635	827	473
636	828	472
637	829	470
638	830	469
639	832	468
640	833	466
641	834	465
642	835	464
643	837	462
644	838	461
645	839	460
646	841	458
647	842	457
648	843	456
649	844	454
650	846	453
651	847	452
652	848	450
653	849	449
654	850	448
655	851	446
656	853	445
657	854	444
658	855	442
659	856	441
660	857	439
661	858	438
662	859	436
663	860	435
664	862	434
665	863	432
666	864	431
667	865	430
668	866	428
669	867	427
670	869	426
671	870	424
672	871	423
673	872	422
674	874	421
675	876	420
676	877	418
677	878	417
678	880	416
679	881	414
680	883	413
681	884	412
682	886	411
683	887	409
684	888	408
685	889	407
686	891	406
687	892	404
688	893	403
689	894	401
690	895	400
691	897	399
692	899	398
693	900	397
694	902	395
695	903	394
696	904	393
697	906	392
698	908	391
699	909	389
700	911	388
701	913	387
702	915	386
703	916	385
704	919	384
705	921	383
706	923	382
707	924	381
708	927	380
709	928	379
710	930	378
711	931	376
712	932	375
713	934	374
714	935	373
715	937	371
716	938	370
717	939	368
718	940	367
719	941	366
720	943	365
721	944	363
722	945	362
723	947	361
724	948	359
725	949	358
726	951	357
727	952	355
728	953	354
729	954	353
730	956	351
731	957	350
732	958	349
733	959	347
734	960	346
735	961	344
736	962	343
737	963	342
738	964	340
739	966	339
740	966	337
741	967	336
742	968	335
743	969	333
744	971	332
745	972	331
746	973	329
747	974	328
748	975	326
749	976	325
750	977	324
751	978	322
752	980	321
753	981	320
754	982	318
755	983	317
756	984	315
757	985	314
758	986	313
759	987	311
760	988	310
761	989	309
762	990	307
763	991	306
764	992	304
765	994	303
766	995	302
767	996	301
768	997	299
769	998	298
770	999	296
771	1000	295
772	1002	294
773	1003	292
774	1004	291
775	1005	290
776	1006	288
777	1006	287
778	1007	285
779	1009	284
780	1010	283
781	1011	281
782	1012	280
783	1013	279
784	1014	277
785	1016	276
786	1018	275
787	1019	274
788	1020	272
789	1021	271
790	1022	270
791	1024	269
792	1025	267
793	1026	266
794	1027	265
795	1028	263
796	1029	262
797	1031	261
798	1032	259
799	1033	258
800	1035	257
801	1036	255
802	1037	254
803	1039	253
804	1040	252
805	1041	250
806	1042	249
807	1043	247
808	1044	246
809	1045	245
810	1046	243
811	1047	242
812	1048	241
813	1049	239
814	1051	238
815	1052	237
816	1053	235
817	1055	234
